,Landfill Name,State,County
556,"Advanced Disposal Services Evergreen Landfill, Inc.",GA,Lowndes
557,Athens-Clarke County Landfill,GA,Clarke
558,Atkinson County - SR 50 MSWL,GA,Atkinson
559,Baker Place Road Landfill (Ph 1 & 2),GA,Columbia
560,Bartow County MSWLF,GA,Bartow
561,BJ Landfill,GA,Gwinnett
562,Broadhurst Environmental Landfill,GA,Wayne
563,Button-Gwinnett Landfill Phase III,GA,Gwinnett
564,Camden County SR 110 MSW Landfill,GA,Camden
565,Carroll County - Carrollton SR 166 MSW Landfill,GA,Carroll
566,Cascade Road Landfill,GA,Fulton
567,Catoosa County MSW LF,GA,Catoosa
568,Cedar Grove Landfill,GA,Lamar
569,Chambers-Bolton Road,GA,Fulton
571,"Chesser Island Road Landfill, Inc. MSWL",GA,Charlton
572,"City of Forsyth-Old Brent Road, Phase I&II",GA,Monroe
573,City of LaGrange Landfill,GA,Troup
574,City of Thomasville MSWLF,GA,Thomas
575,City of Tifton / Omega / Eldorado Road LF,GA,Tift
576,Clayton County SR 3 Lovejoy Landfill,GA,Clayton
577,Columbus Pine Grove MSWLF,GA,Muscogee
578,Columbus-Schatulga Road SLF,GA,Muscogee
580,Crisp County Landfill,GA,Crisp
581,Deans Bridge Road MSWLF,GA,Richmond
582,Decatur County Solid Waste Facility,GA,Decatur
583,Dougherty County Fleming/Gaissert Road LF,GA,Dougherty
585,Eagle Point Landfill LLC,GA,Forsyth
587,Fort Benning LF,GA,Muscogee
589,Fulton County Merk Miles Road Landfill,GA,Fulton
590,Gordon County Redbone Ridges LF,GA,Gordon
591,Grady Road Landfill,GA,Polk
592,Gun Club Road landfill,GA,Fulton
593,Habersham County SR13 MSWL,GA,Habersham
594,Hall County Allen Creek Landfill,GA,Hall
595,Hall County Candler Road MSWLF,GA,Hall
597,Hickory Ridge Landfill,GA,DeKalb
598,Highway 309 Landfill,GA,Decatur
599,Jefferson County CR-138 MSWL,GA,Jefferson
600,Key Road Landfill,GA,DeKalb
601,Laurens County - Old Macon Road MSWL,GA,Laurens
602,Liberty County LF,GA,Liberty
603,Live Oak LF,GA,DeKalb
604,Macon Bibb Walker Road MSWL,GA,Bibb
605,Marble Top Road Landfill,GA,Walker
606,Morgan Falls,GA,Fulton
607,Murray County Landfill,GA,Murray
608,Newton County Landfill,GA,Newton
609,Oak Grove Landfill,GA,Barrow
610,Old Dixie Highway MSW Landfill,GA,Whitfield
612,Pine Bluff Landfill,GA,Cherokee
613,Pine Ridge Landfill,GA,Butts
614,Polk County Landfill #1,GA,Polk
615,R & B (Banks) Landfill,GA,Banks
616,Richland Creek Road Landfill,GA,Gwinnett
617,Roberts Road Landfill,GA,Fayette
618,Savannah-Dean Forest Road SL,GA,Chatham
619,Seminole Road MSW Landfill,GA,DeKalb
620,Southern States-Bolton Road,GA,Fulton
621,SR247 MSW Landfill,GA,Houston
622,Superior Landfill & Recycling Center,GA,Chatham
623,Swift Creek Environmental Landfill,GA,Bibb
625,Turkey Run Landfill,GA,Meriwether
628,Walker Mountain Landfill,GA,Floyd
629,Watts Road LF,GA,Fulton
630,"WI Taylor County Disposal, LLC",GA,Taylor
632,"Wolf Creek Landfill, LLC",GA,Twiggs
