X,Y,OBJECTID,SWID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REG_ID,STATUSDATE,OWNER,CLOSE_DATE,PERMIT_NO
-17558301.97,2445466.587,1,15744,KANEOHE MARINE CORPS BASE LANDFILL,"MIDDAUGH ST, OAHU",KANEOHE,HI,96734,NOT AVAILABLE,(808) 257-6920,"MUNICIPAL, C&D",OPEN,HONOLULU,15003,USA,21.44873502,-157.7289103,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://health.hawaii.gov/shwb/files/2013/06/oahulandfills.pdf,4/30/2019 0:00,IMAGERY,1/15/2020 0:00,NOT AVAILABLE,1.10021E+11,NOT AVAILABLE,UNITED STATE MARINE CORPS,NOT AVAILABLE,NOT AVAILABLE
-17602351.27,2433460.792,2,15750,WAIMANALO GULCH SANITARY LANDFILL,"92-460 FARRINGTON HIGHWAY, OAHU",WAIANAE,HI,96707,NOT AVAILABLE,(808) 668-4640,MUNICIPAL,OPEN,HONOLULU,15003,USA,21.34831976,-158.1246119,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://health.hawaii.gov/shwb/files/2013/06/oahulandfills.pdf,4/30/2019 0:00,IMAGERY,1/15/2020 0:00,http://www1.wmsolutions.com/facilities/details/id/198,1.10014E+11,NOT AVAILABLE,WASTE MANAGEMENT INC,NOT AVAILABLE,LF-0054-02
-17352686.16,2260402.41,3,15751,WEST HAWAII LANDFILL / PUU ANAHULU,71-111 QUEEN KAAHUMANU HWY,WAIKOLOA,HI,85034,NOT AVAILABLE,NOT AVAILABLE,"MUNICIPAL, C&D",OPEN,HAWAII,15001,USA,19.89336157,-155.8818319,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://health.hawaii.gov/shwb/files/2013/06/neighborlandfills3.pdf,4/30/2019 0:00,IMAGERY,1/15/2020 0:00,http://www1.wmsolutions.com/facilities/details/id/197,1.10034E+11,NOT AVAILABLE,WASTE MANAGEMENT INC,NOT AVAILABLE,LF0072-93
-17412992.95,2375049.521,4,15740,CENTRAL MAUI LANDFILL REFUSE & RECYCLING CENTER,PULEHU ROAD & HANSEN ROAD,PUUNENE,HI,96784,NOT AVAILABLE,(808) 270-7880,MUNICIPAL,OPEN,MAUI,15009,USA,20.8587965,-156.4235771,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://health.hawaii.gov/shwb/files/2013/06/neighborlandfills3.pdf,4/30/2019 0:00,IMAGERY,1/15/2020 0:00,http://www.co.maui.hi.us/Facilities/Facility/Details/5,1.10025E+11,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-16441668.91,9556202.677,5,216,FAIRBANKS NORTH STAR BOROUGH LANDFILL (SOUTH CUSHMAN),455 SANDURI ST,FAIRBANKS,AK,99701,7653,(907) 459-1482,"MUNICIPAL, C&D",OPEN,FAIRBANKS NORTH STAR,2090,USA,64.80120841,-147.6980248,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://dec.alaska.gov/Applications/EH/SWIMS/ModFacility.aspx?siteId=89,5/6/2019 0:00,IMAGERY/OTHER,5/8/2020 0:00,http://co.fairbanks.ak.us/solidwaste/,1.10002E+11,1/14/2019,FAIRBANKS NORTH STAR BOROUGH,NOT AVAILABLE,SW1A002-16
-13621304.28,4926744.636,6,6260,"ANDERSON LANDFILL, INC.",18703 CAMBRIDGE ROAD,ANDERSON,CA,96007,9165,(530) 347-5236,"MUNICIPAL, C&D",OPEN,SHASTA,6089,USA,40.41712806,-122.3622582,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10003E+11,1/1/2093,"ANDERSON LANDFILL, INC",NOT AVAILABLE,45-AA-0020
-13613711.25,4894812.56,7,6366,TEHAMA COUNTY/RED BLUFF LANDFILL,19995 PLYMIRE ROAD; 2 MI NW RED BLUFF,RED BLUFF,CA,96080,NOT AVAILABLE,(530) 528-1102,"MUNICIPAL, C&D",OPEN,TEHAMA,6103,USA,40.19838153,-122.2940489,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10018E+11,1/1/2040,"MADERA DISPOSAL SYSTEMS, INC",NOT AVAILABLE,52-AA-0001
-13521423.44,4662618.405,8,6285,CITY OF SACRAMENTO LANDFILL,20 28TH ST,SACRAMENTO,CA,95816,NOT AVAILABLE,(916) 808-4934,MUNICIPAL,CLOSED,SACRAMENTO,6067,USA,38.58653697,-121.4650134,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10001E+11,1/30/2019,"CITY OF SACRAMENTO, DEPT OF UTILITIES",1/30/2014,34-AA-0018
-13579129.29,4610135.145,9,6339,POTRERO HILLS LANDFILL,3675 POTRERO HILLS LANE,SUISUN CITY,CA,94585,NOT AVAILABLE,(707) 429-9600,"MUNICIPAL, C&D",OPEN,SOLANO,6095,USA,38.21706347,-121.9833938,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10018E+11,2/14/2048,"POTRERO HILLS LANDFILL, INC",NOT AVAILABLE,48-AA-0075
-13560054.92,4427636.307,10,6274,BUENA VISTA DRIVE SANITARY LANDFILL,150 ROUNDTREE LANE (OFFICE ADDRESS),WATSONVILLE,CA,95076,NOT AVAILABLE,(831) 454-5156,"MUNICIPAL, C&D",OPEN,SANTA CRUZ,6087,USA,36.91766322,-121.8120459,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10018E+11,7/1/2031,SANTA CRUZ COUNTY,NOT AVAILABLE,44-AA-0004
-13574121.09,4580273.716,11,6311,KELLER CANYON LANDFILL,901 BAILEY ROAD,PITTSBURG,CA,94565,4309,(925) 458-9800,"MUNICIPAL, C&D",OPEN,CONTRA COSTA,6013,USA,38.00600191,-121.9384044,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10001E+11,12/31/2030,KELLER CANYON LANDFILL,NOT AVAILABLE,07-AA-0032
-13562706.92,4623888.927,12,6342,RECOLOGY HAY ROAD,6426 HAY ROAD; 1/4 MI W HWY 113,VACAVILLE,CA,95687,NOT AVAILABLE,(707) 678-4718,"MUNICIPAL, C&D",OPEN,SOLANO,6095,USA,38.31407039,-121.8358692,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10018E+11,1/1/2077,RECOLOGY HAY ROAD,NOT AVAILABLE,48-AA-0002
-13592705.32,4435397.077,13,6286,CITY OF SANTA CRUZ RESOURCE RECOVERY FAC,605 DIMEO LANE,SANTA CRUZ,CA,95060,5610,(831) 420-5160,"MUNICIPAL, C&D",OPEN,SANTA CRUZ,6087,USA,36.9733809,-122.1053494,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10013E+11,1/1/2058,CITY OF SANTA CRUZ,NOT AVAILABLE,44-AA-0001
-13561477.3,4426964.377,14,6287,CITY OF WATSONVILLE LANDFILL,730 SAN ANDREAS ROAD,WATSONVILLE,CA,95076,9648,(831) 728-6046,"MUNICIPAL, C&D",OPEN,SANTA CRUZ,6087,USA,36.91283724,-121.8248233,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10013E+11,12/31/2029,CITY OF WATSONVILLE,NOT AVAILABLE,44-AA-0002
-13514743.48,4374284.75,15,6310,JOHNSON CANYON SANITARY LANDFILL,31400 JOHNSON CANYON ROAD,GONZALES,CA,93926,9400,(831) 755-1300,"MUNICIPAL, C&D",OPEN,MONTEREY,6053,USA,36.53352957,-121.4050063,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10013E+11,12/21/2040,SALINAS VALLEY SOLID WASTE AUTHORITY,NOT AVAILABLE,27-AA-0005
-13590712.57,4582999.005,16,6257,ACME LANDFILL,950 WATERBIRD WAY,MARTINEZ,CA,94553,NOT AVAILABLE,(925) 228-7099,C&D,OPEN,CONTRA COSTA,6013,USA,38.02528963,-122.0874482,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10018E+11,7/1/2021,ACME FILL CORPORATION,NOT AVAILABLE,07-AA-0002
-13623305.72,4575088.688,17,6378,WEST CONTRA COSTA LANDFILL,PARR BLVD & GARDEN TRACT ROAD,RICHMOND,CA,94801,NOT AVAILABLE,(510) 262-1660,"MUNICIPAL, C&D",CLOSED,CONTRA COSTA,6013,USA,37.96929185,-122.3802374,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10034E+11,8/3/2015,WEST CONTRA COSTA SANITARY LANDFILL INC,8/3/2010,07-AA-0001
-8117014.825,5336574.722,18,502761,WINHALL TRANSFER STATION,"66 OLD TOWN ROAD, BONDVILLE",WINHALL,VT,5340,NOT AVAILABLE,(802) 297-2122,TRANSFER,OPEN,BENNINGTON,50003,USA,43.16142486,-72.91638478,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://anrweb.vt.gov/DEC/ERT/DataDump.aspx,5/3/2019 0:00,IMAGERY/OTHER,4/5/2020 0:00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,BN961
-13569969.58,4469020.111,19,6303,GUADALUPE DISPOSAL SITE LANDFILL,15999 GUADALUPE MINES ROAD,SAN JOSE,CA,95120,NOT AVAILABLE,(408) 268-1670,"MUNICIPAL, C&D",OPEN,SANTA CLARA,6085,USA,37.21430303,-121.9011108,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10034E+11,1/1/2048,"GUADALUPE RUBBISH DISPOSAL CO, INC",NOT AVAILABLE,43-AN-0015
-13549965.13,4543771.106,20,6375,VASCO ROAD SANITARY LANDFILL,4001 N VASCO RD,LIVERMORE,CA,94551,9766,(925) 447-0491,"MUNICIPAL, C&D",OPEN,ALAMEDA,6001,USA,37.74717271,-121.7214078,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.1001E+11,12/31/2022,"REPUBLIC SERVICES OF CALIFORNIA, LLC",NOT AVAILABLE,01-AA-0010
-13543040.65,4544951.494,21,6258,ALTAMONT LANDFILL & RESOURCE RECOVERY,10840 ALTAMONT PASS ROAD,LIVERMORE,CA,94551,9722,(510) 613-8710,"MUNICIPAL, C&D",OPEN,ALAMEDA,6001,USA,37.75555671,-121.6592041,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10001E+11,1/1/2025,WASTE MANAGEMENT OF ALAMEDA COUNTY,NOT AVAILABLE,01-AA-0009
-13573858.95,4502842.485,22,6331,NEWBY ISLAND SANITARY LANDFILL,1601 DIXON LANDING ROAD,MILPITAS,CA,95035,NOT AVAILABLE,(408) 262-1401,"MUNICIPAL, C&D",OPEN,SANTA CLARA,6085,USA,37.45587978,-121.9360496,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10007E+11,1/1/2041,INTERNATIONAL DISPOSAL CORPORATION,NOT AVAILABLE,43-AN-0003
-13371391.02,4302663.991,23,6263,AVENAL REGIONAL LANDFILL,201 NORTH HYDRIL ROAD,AVENAL,CA,93204,NOT AVAILABLE,(559) 386-5766,"MUNICIPAL, C&D",OPEN,KING,6031,USA,36.01484338,-120.1172492,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10013E+11,12/31/2020,"MADERA DISPOSAL SYSTEMS, INC",NOT AVAILABLE,16-AA-0004
-13485352.35,4494133.304,24,6297,FINK ROAD LANDFILL,4000 FINK ROAD,CROWS LANDING,CA,95360,NOT AVAILABLE,(209) 525-6770,"MUNICIPAL, C&D",OPEN,STANISLAUS,6099,USA,37.39374862,-121.1409813,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10013E+11,12/1/2023,STANISLAUS COUNTY,NOT AVAILABLE,50-AA-0001
-13359185.91,4294969.036,25,6293,"CWMI, KHF (MSW LANDFILL B-19)",35251 OLD SKYLINE ROAD,KETTLEMAN CITY,CA,93239,NOT AVAILABLE,(713) 512-6200,"MUNICIPAL, C&D",OPEN,KINGS,6031,USA,35.95891082,-120.0076089,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.1E+11,NOT AVAILABLE,"CHEMICAL WASTE MANAGEMENT, INC",NOT AVAILABLE,16-AA-0021
-13480848.36,4593276.597,26,6332,NORTH COUNTY LANDFILL & RECYCLING CENTER,17720 EAST HARNEY LANE,LODI,CA,95240,NOT AVAILABLE,(209) 468-3066,"MUNICIPAL, C&D",OPEN,SAN JOAQUIN,6077,USA,38.09798166,-121.1005213,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10013E+11,12/31/2048,COUNTY OF SAN JOAQUIN PUBLIC WORKS DEPT,NOT AVAILABLE,39-AA-0022
-13258381.66,4303533.134,27,6364,TEAPOT DOME DISPOSAL SITE,AVENUE 128 AND ROAD 208,PORTERVILLE,CA,93257,NOT AVAILABLE,(559) 733-6291,"MUNICIPAL, C&D",OPEN,TULARE,6107,USA,36.02115846,-119.1020689,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10014E+11,12/31/2022,TULARE COUNTY,NOT AVAILABLE,54-AA-0004
-13491148.31,4652272.754,28,6347,SACRAMENTO COUNTY LANDFILL (KIEFER),12701 KIEFER BLVD,SLOUGHHOUSE,CA,95683,NOT AVAILABLE,(916) 875-6789,"MUNICIPAL, C&D",OPEN,SACRAMENTO,6067,USA,38.51385479,-121.1930473,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10018E+11,1/1/2064,SACRAMENTO COUNTY DEPT OF WM & RECYCLING,NOT AVAILABLE,34-AA-0001
-13169037.28,4049053.047,29,6368,TOYON CANYON PARK RECLAMATION PROJECT,5050 MT HOLLYWOOD DRIVE,LOS ANGELES,CA,90027,NOT AVAILABLE,(800) 773-2489,NOT AVAILABLE,CLOSED,LOS ANGELES,6037,USA,34.15068289,-118.2994747,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10001E+11,NOT AVAILABLE,CITY OF LOS ANGELES BUREAU OF SANITATION,NOT AVAILABLE,19-AA-0819
-8119110.261,5277304.964,30,502733,READSBORO TRANSFER STATION,NOT AVAILABLE,READSBORO,VT,5350,NOT AVAILABLE,(802) 423-7010,TRANSFER,OPEN,BENNINGTON,50003,USA,42.77182131,-72.93520841,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://anrweb.vt.gov/DEC/ERT/DataDump.aspx,5/3/2019 0:00,IMAGERY/OTHER,4/5/2020 0:00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,BN612
-13193293.74,4073004.608,31,6361,SUNSHINE CANYON CITY/COUNTY LANDFILL,14747 SAN FERNANDO ROAD,SYLMAR,CA,91342,NOT AVAILABLE,(818) 833-6511,"MUNICIPAL, C&D",OPEN,LOS ANGELES,6037,USA,34.32855418,-118.5173741,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10033E+11,12/31/2037,"BROWNING-FERRIS INDUSTRY OF CALIFORNIA, INC",NOT AVAILABLE,19-AA-2000
-13137695.97,4032406.711,32,6341,PUENTE HILLS LANDFILL,13130 CROSSROADS PARKWAY SOUTH,CITY OF INDUSTRY,CA,90601,3454,(652) 699-7411,"MUNICIPAL, C&D",CLOSED,LOS ANGELES,6037,USA,34.02684119,-118.0179309,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,4/29/2019 0:00,IMAGERY/OTHER,5/6/2020 0:00,NOT AVAILABLE,1.10034E+11,7/8/2015,LOS ANGELES COUNTY SANITATION DISTRICT 2,NOT AVAILABLE,19-AA-0053
-12728511.52,6158453.029,33,301502,FLATHEAD COUNTY SOLID WASTE DISTRICT,4098 US HWY 93 NORTH,KALISPELL,MT,59937,NOT AVAILABLE,(406) 758-5910,MUNICIPAL,CLOSED,FLATHEAD,30029,USA,48.30921977,-114.3421645,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,5/1/2019 0:00,IMAGERY,4/29/2020 0:00,http://flathead.mt.gov/waste/,1.10038E+11,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,18B
-12691971.06,5925657.188,34,301483,"ALLIED WASTE SYSTEMS OF MONTANA, LLC - MISSOULA LANDFILL",3737 COAL MINE ROAD,MISSOULA,MT,59802,NOT AVAILABLE,(406) 543-3157,MUNICIPAL,CLOSED,MISSOULA,30063,USA,46.89932736,-114.0139159,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,5/1/2019 0:00,IMAGERY,4/29/2020 0:00,http://www.republicservices.com/site/missoula-mt/en/pages/home.aspx,1.10031E+11,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,116A
-12457207.9,5871400.068,35,301531,VALLEYVIEW LANDFILL,300 HWY 518,MONTANA CITY,MT,59635,NOT AVAILABLE,(406) 227-6300,MUNICIPAL,OPEN,JEFFERSON,30043,USA,46.56526102,-111.9050025,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,5/1/2019 0:00,IMAGERY,4/29/2020 0:00,http://tcd.us.com/landfill.html,1.1004E+11,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,296A
-12454345.56,5889125.297,36,301508,LEWIS & CLARK COUNTY LANDFILL,4075 DEAL LANE,HELENA,MT,59602,NOT AVAILABLE,(406) 457-8521,MUNICIPAL,OPEN,LEWIS & CLARK,30049,USA,46.67462456,-111.8792897,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,5/1/2019 0:00,IMAGERY/OTHER,4/29/2020 0:00,http://www.lccountymt.gov/public-works/solid-waste.html,1.1001E+11,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,360
-12535561.63,5783725.285,37,301490,BUTTE-SILVER BOW LANDFILL,121074 NORTH BROWNS GULCH ROAD,BUTTE,MT,59701,NOT AVAILABLE,(406) 782-1463,MUNICIPAL,CLOSED,SILVER BOW,30093,USA,46.02106338,-112.6088661,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,5/1/2019 0:00,IMAGERY,4/29/2020 0:00,http://www.co.silverbow.mt.us/177/Solid-Waste-Services,1.10011E+11,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,330
