,Landfill Name,State,County,Average Annual Count
4,South Cushman Landfill,AK,Fairbanks North Star,317
5,Unalaska Landfill,AK,Aleutians West,14
7,Arrowhead Landfill,AL,Perry,54
8,Athens/Limestone County SLF MSWLF,AL,Limestone,492
9,Bishop Landfill Company,AL,Marshall,513
10,Black Warrior Solid Waste Facility,AL,Tuscaloosa,905
11,Blount County/Nectar/Hayden LF & TS,AL,Blount,317
12,Brundidge Landfill,AL,Pike,158
13,Calhoun County SLF,AL,Calhoun,670
14,Chastang SLF,AL,Mobile,2164
15,City of Decatur-Morgan County Regional MSW Landfill,AL,Morgan,708
16,City of Dothan SLF MSWLF,AL,Houston,571
17,Coffee County Sanitary Landfill,AL,Coffee,265
18,Cullman Environmental Waste Management Center,AL,Cullman,460
19,Eastern Area Landfill,AL,Jefferson,3496
20,Florence SLF MSWLF,AL,Lauderdale,526
21,Huntsville MSWLF,AL,Madison,1800
22,Magnolia Subtitle D MSW LF,AL,Baldwin,1257
23,Morris Farm Landfill,AL,Lawrence,208
24,North Montgomery SLF MSWLF,AL,Montgomery,1127
25,Pine View SLF MSWLF,AL,Walker,445
26,Salem Landfill,AL,Lee,555
27,Sand Valley Landfill,AL,DeKalb,344
28,Scottsboro Landfill,AL,Jackson,314
29,Shelby County Highway 70 Landfill,AL,Shelby,968
30,Shoals Solid Waste Disposal Authority (SSWDA) LF,AL,Colbert,325
31,"Stones Throw Landfill, LLC",AL,Tallapoosa,279
32,Three Corners Landfill,AL,Cherokee,157
33,Timberlands Landfill,AL,Escambia,212
34,"Turkey Trot Landfill, LLC",AL,Washington,93
35,Willow Ridge Landfill,AL,Winston,143
36,City of Conway Landfill,AR,Faulkner,555
37,City of Morrilton Landfill,AR,Conway,127
38,Craighead County Solid Waste Disposal Authority LF,AR,Craighead,525
39,Crittenden County Sanitary Landfill,AR,Crittenden,225
40,Fort Smith SLF,AR,Sebastian,680
41,IESI Cherokee Village Landfill,AR,Fulton,87
42,Little Rock City SW Landfill,AR,Pulaski,2154
43,Mississippi County LF,AR,Mississippi,231
44,Northeast AR RSWMD Landfill Phases 2 & 3,AR,Greene,246
45,Ozark Ridge Landfill,AR,Yell,121
46,"Rolling Meadows Landfill, Inc.",AR,Prairie,61
47,Saline County RWMD LF,AR,Saline,708
48,Union County Recycling & Disposal Facility,AR,Union,247
49,Upper Southwest RSWMD,AR,Howard,68
50,27th Avenue Landfill,AZ,Maricopa,17933
51,Apache County Regional Landfill - Blue Hills,AZ,Apache,214
52,Apache Junction LF,AZ,Pinal,1845
53,Cinder Lake MSW LF,AZ,Coconino,473
54,Cochise County Western Regional Landfill,AZ,Cochise,664
55,Copper Mountain Landfill,AZ,Yuma,866
56,Gray Wolf Regional Landfill,AZ,Yavapai,1654
57,Harrison Landfill,AZ,Pima,5007
58,La Paz County Landfill,AZ,La Paz,127
59,Lake Havasu Landfill,AZ,Mohave,1579
60,Painted Desert Landfill,AZ,Navajo,428
64,Allied Imperial Landfill,CA,Imperial,681
65,Altamont Landfill & Resource Recovery Facility,CA,Alameda,6829
66,American Avenue Landfill,CA,Fresno,3674
67,American Canyon SLF,CA,Napa,794
68,Anderson Landfill,CA,Shasta,1253
69,Antelope Valley Recycling and Disposal Facility,CA,Los Angeles,39939
70,Apple Valley Disposal Site,CA,San Bernardino,7925
71,Arvin SLF,CA,Kern,3137
72,Austin Road Landfill,CA,San Joaquin,2964
73,Avenal Regional Landfill,CA,Kings,483
74,Badlands SLF,CA,Riverside,10046
75,Bass Hill LF,CA,Lassen,133
76,Billy Wright Landfill,CA,Merced,928
77,Bishop Sunland,CA,Inyo,117
78,Bonzi SLF,CA,Stanislaus,2273
79,Borrego Landfill,CA,San Diego,14412
80,Chicago Grade LF,CA,San Luis Obispo,1622
81,City of Lompoc SLF,CA,Santa Barbara,2102
82,City of Sacramento Landfill,CA,Sacramento,6900
83,City of Ukiah Solid Waste Disposal Site,CA,Mendocino,528
84,Coyote Canyon SLF,CA,Orange,14072
85,Crazy Horse Landfill,CA,Monterey,1711
86,Crescent City SLF,CA,Del Norte,140
87,Cummings Road Landfill,CA,Humboldt,712
88,Eastlake SLF,CA,Lake,430
89,Fairmead Solid Waste Disposal Site,CA,Madera,637
90,Healdsburg Landfill,CA,Sonoma,2832
91,Hillside Solid Waste Disposal Site,CA,San Mateo,3750
92,John Smith Road Class III Landfill,CA,San Benito,236
93,Loyalton LF,CA,Sierra,17
94,McCourtney LF,CA,Nevada,667
95,Neal Road Recycling and Waste Facility,CA,Butte,1342
96,Oxnard Landfills,CA,Ventura,3968
97,Potrero Hills SLF,CA,Solano,2151
98,Recology Ostrom Road LF,CA,Yuba,327
99,Redwood SLF,CA,Marin,1704
100,Rock Creek LF,CA,Calaveras,320
101,Teapot Dome Landfill,CA,Tulare,1541
102,Tehama County/Red Bluff Landfill,CA,Tehama,410
103,Union Mine Disposal Site,CA,El Dorado,1145
104,Western Regional SLF,CA,Placer,2286
105,Yolo County Central LF,CA,Yolo,806
106,Yreka Solid Waste LF,CA,Siskiyou,266
107,Archuleta County Landfill,CO,Archuleta,62
108,Bondad Landfill,CO,La Plata,228
109,Boulder Landfill,CO,Boulder,1272
110,Broad Canyon Landfill,CO,Montrose,232
111,Broadacres Landfill Inc.,CO,Pueblo,861
112,Buffalo Ridge Landfill,CO,Weld,1113
113,Colorado Springs Landfill,CO,El Paso,2824
114,County Line LF,CO,Douglas,1207
115,Denver Arapahoe Disposal Site (DADS),CO,Arapahoe,2553
116,Eagle County Landfill,CO,Eagle,165
117,East Regional Landfill (ERL),CO,Adams,1736
118,Larimer County Landfill,CO,Larimer,1491
119,Mesa County Landfill,CO,Mesa,792
120,Milner Landfill,CO,Routt,94
121,Phantom Landfill,CO,Fremont,291
122,Pitkin County Solid Waste Center,CO,Pitkin,76
123,South Canyon Landfill,CO,Garfield,240
124,Summit County Landfill,CO,Summit,74
125,Canterbury LF,CT,Windham,708
126,East Windsor LF,CT,Hartford,5173
127,Groton LF,CT,New London,1640
128,Middletown Avenue Landfill,CT,New Haven,5084
129,New Milford LF,CT,Litchfield,1278
130,Shelton LF,CT,Fairfield,5240
132,Jones Crossroads Landfill,DE,Sussex,1691
133,Sandtown Landfill,DE,Kent,1067
134,58th Street Landfill,FL,Miami-Dade,13536
135,A.C.M.S. Inc.,FL,Sumter,1413
136,Baseline Landfill,FL,Marion,3044
137,Bee Ridge LF,FL,Sarasota,3942
138,Brevard County Central Disposal Facility,FL,Brevard,4178
139,Bridgeway Acres LF,FL,Pinellas,7148
140,Broward County Landfill,FL,Broward,10313
141,Cedar Trail Landfill (CTL),FL,Polk,4338
142,Citrus County Central Landfill,FL,Citrus,1506
143,Collier County Landfill,FL,Collier,2427
144,Croom SLF,FL,Hernando,1667
145,DeSoto City SLF,FL,Highlands,831
146,Dyer Boulevard LF,FL,Palm Beach,9678
147,East Duval SLF,FL,Duval,5161
148,Hillsborough Heights LF,FL,Hillsborough,7014
149,Indian River County LF Class I,FL,Indian River,1297
150,J.E.D. Solid Waste Management Facility,FL,Osceola,1489
151,Lee/Hendry County Regional SW Disposal Facility,FL,Hendry,154
152,Lena Road Class I Landfill,FL,Manatee,2634
153,Leon County Landfill,FL,Leon,1094
154,Majette North SLF,FL,Bay,1137
155,Martin County Palm City II SLF,FL,Martin,1304
156,Okeechobee LF,FL,Okeechobee,262
157,Osceola Landfill,FL,Seminole,2315
158,PCSW Resource Recovery Facility,FL,Pasco,3736
159,Putnam County Central SLF,FL,Putnam,535
160,Rosemary Hill LF Expansion Class I,FL,Clay,1182
161,Santa Rosa Central LF,FL,Santa Rosa,918
162,St. Lucie County Baling and Recycling Facility,FL,St. Lucie,1983
163,Stock Island LF,FL,Monroe,500
164,SW Alachua SLF,FL,Alachua,1221
165,Taylor County Central LF,FL,Taylor,133
166,Tillman Ridge SLF,FL,St. Johns,1485
167,Tomoka Farms Road LF,FL,Volusia,3939
168,West Nassau SLF,FL,Nassau,632
169,Winfield Solid Waste Facility,FL,Columbia,447
170,Wright LF,FL,Okaloosa,1044
171,Zemel Road Landfill,FL,Charlotte,1730
172,"Advanced Disposal Services Evergreen Landfill, Inc.",GA,Lowndes,479
173,Athens-Clarke County Landfill,GA,Clarke,455
174,Atkinson County - SR 50 MSWL,GA,Atkinson,39
175,Bartow County MSWLF,GA,Bartow,526
176,BJ Landfill,GA,Gwinnett,3487
177,Broadhurst Environmental Landfill,GA,Wayne,169
178,Camden County SR 110 MSW Landfill,GA,Camden,235
179,Carroll County - Carrollton SR 166 MSW Landfill,GA,Carroll,585
180,Catoosa County MSW LF,GA,Catoosa,299
181,Cedar Grove Landfill,GA,Lamar,110
182,"Chesser Island Road Landfill, Inc. MSWL",GA,Charlton,67
183,City of LaGrange Landfill,GA,Troup,373
184,City of Thomasville MSWLF,GA,Thomas,267
185,City of Tifton / Omega / Eldorado Road LF,GA,Tift,234
186,Clayton County SR 3 Lovejoy Landfill,GA,Clayton,1098
187,Columbus Pine Grove MSWLF,GA,Muscogee,984
188,Crisp County Landfill,GA,Crisp,121
189,Deans Bridge Road MSWLF,GA,Richmond,1007
190,Decatur County Solid Waste Facility,GA,Decatur,150
191,Dougherty County Fleming/Gaissert Road LF,GA,Dougherty,487
192,Eagle Point Landfill LLC,GA,Forsyth,1014
193,Gordon County Redbone Ridges LF,GA,Gordon,300
194,Habersham County SR13 MSWL,GA,Habersham,276
195,Hall County Allen Creek Landfill,GA,Hall,1036
196,Laurens County - Old Macon Road MSWL,GA,Laurens,269
197,Liberty County LF,GA,Liberty,209
198,Macon Bibb Walker Road MSWL,GA,Bibb,880
199,Murray County Landfill,GA,Murray,200
200,Newton County Landfill,GA,Newton,550
201,Oak Grove Landfill,GA,Barrow,390
202,Old Dixie Highway MSW Landfill,GA,Whitfield,451
203,Pine Ridge Landfill,GA,Butts,140
204,R & B (Banks) Landfill,GA,Banks,106
205,Roberts Road Landfill,GA,Fayette,658
206,Savannah-Dean Forest Road SL,GA,Chatham,1388
207,Turkey Run Landfill,GA,Meriwether,146
208,Walker Mountain Landfill,GA,Floyd,548
209,"Wolf Creek Landfill, LLC",GA,Twiggs,58
210,Central Maui Landfill,HI,Maui,837
211,Kaneohe Marine Corps Air Station Landfill,HI,Honolulu,5073
212,Kekaha Landfill/Phases I & II,HI,Kauai,349
213,South Hilo Sanitary Landfill (SHSL),HI,Hawaii,1025
214,Black Hawk County SLF (Area E),IA,Black Hawk,742
215,Boone County Landfill,IA,Boone,173
216,Cedar Rapids Linn County Solid Waste Landfill #1,IA,Linn,1226
217,Central Disposal Landfill,IA,Winnebago,70
218,City of Muscatine LF,IA,Muscatine,262
219,Clinton County SLF (East),IA,Clinton,310
220,Des Moines County Regional Sanitary Landfill,IA,Des Moines,280
221,Dickinson Landfill Inc.,IA,Dickinson,151
222,Dubuque Metropolitan SLF,IA,Dubuque,595
223,Floyd-Mitchell-Chickasaw Counties Landfill,IA,Mitchell,72
224,Iowa City SLF,IA,Johnson,603
225,Landfill of North Iowa,IA,Cerro Gordo,352
226,Loess Hills Regional SLF,IA,Mills,101
227,Newton SLF,IA,Jasper,223
228,North Central Iowa Regional SWA Sanitary Landfill,IA,Webster,228
229,Northwest Iowa Area SWA Landfill,IA,Sioux,175
230,Ottumwa-Wapello County SLF,IA,Wapello,233
231,Page County Sanitary Landfill,IA,Page,126
232,Scott Area SLF,IA,Scott,971
233,Winneshiek County Sanitary Landfill,IA,Winneshiek,113
234,Ada County Landfill,ID,Ada,2080
235,Bear Lake County Landfill,ID,Bear Lake,29
236,Bennett Road Landfill,ID,Elmore,120
237,Bingham County Landfill-Ridge Road,ID,Bingham,196
238,Bonneville County Landfill,ID,Bonneville,480
239,Boundary County Landfill,ID,Boundary,76
240,Clay Peak Landfill,ID,Payette,138
241,Fighting Creek Farm Landfill,ID,Kootenai,930
242,Fort Hall Mine Landfill,ID,Bannock,322
243,Franklin County Sanitary Landfill,ID,Franklin,50
244,Hub Butte Landfill,ID,Twin Falls,384
245,Latah Sanitary Landfill,ID,Latah,158
246,Lemhi County Landfill 1,ID,Lemhi,67
247,Milner Butte Landfill,ID,Cassia,90
248,Pickles Butte SLF,ID,Canyon,952
249,Teton County Landfill,ID,Teton,37
250,31st Street Landfill,IL,Cook,25748
251,ADS/McLean County LF #2,IL,McLean,769
252,Advanced Disposal Orchard Hills Landfill Inc.,IL,Ogle,319
253,Advanced Disposal Valley View Landfill Inc.,IL,Macon,786
254,Beecher Landfill,IL,Will,3425
255,Bond County LF,IL,Bond,108
256,Brickyard Disposal & Recycling Inc.,IL,Vermilion,525
257,Clinton Landfill Inc.,IL,De Witt,118
258,Coles County Landfill,IL,Coles,268
259,Envirofil of Illinois Inc.,IL,McDonough,179
260,Environtech LF,IL,Grundy,302
261,Five Oaks RDF,IL,Christian,256
262,Freeport Municipal Landfill #4,IL,Stephenson,279
263,Greene Valley RDF,IL,DuPage,4918
264,Indian Creek Landfill #2,IL,Tazewell,870
265,Jerseyville Sanitation Landfill,IL,Jersey,138
266,K & H Disposal Landfill,IL,Iroquois,203
267,Kankakee County RDF,IL,Kankakee,668
268,Knox County LF #3,IL,Knox,338
270,Landfill 33 Ltd.,IL,Effingham,210
271,Livingston LF,IL,Livingston,250
272,Peoria City/County Landfills #1 and #2,IL,Peoria,1094
273,Quad Cities Landfill Phase IV,IL,Rock Island,875
274,Sangamon Valley Landfill Inc.,IL,Sangamon,1315
275,Settler's Hill Recycling & Disposal Facility,IL,Kane,2378
276,Urbana Municipal #1,IL,Champaign,863
277,Whiteside County Landfill,IL,Whiteside,375
278,"Advanced Disposal Services Hoosier Landfill, Inc.",IN,Kosciusko,412
279,Bartholomew County Landfill I,IN,Bartholomew,433
280,Clark-Floyd LF,IN,Clark,654
281,Daviess County LF,IN,Daviess,163
282,Deercroft RDF,IN,LaPorte,662
283,Earthmovers LF,IN,Elkhart,956
284,Hayes Landfill,IN,Henry,306
285,Huntington City LF,IN,Huntington,202
286,Jay County LF,IN,Jay,127
287,Jennings County LF,IN,Jennings,163
288,LaGrange County LF,IN,LaGrange,144
289,Laubscher Meadows LF,IN,Vanderburgh,1040
290,Liberty Landfill,IN,White,155
291,National Serv-All LF,IN,Allen,1732
292,Oak Ridge RDF,IN,Cass,206
293,Prairie View RDF,IN,St. Joseph,1333
294,Randolph Farms LF,IN,Randolph,159
295,Spencer County,IN,Spencer,118
296,Sullivan County LF,IN,Sullivan,120
297,Sycamore Ridge Landfill & Victory Landfill,IN,Vigo,591
298,Tipton County LF,IN,Tipton,102
299,Twin Bridges RDF,IN,Hendricks,772
300,Wabash Valley LF,IN,Wabash,202
301,West Clinton LF,IN,Vermillion,103
323,Advanced Disposal Morehead Landfill Inc.,KY,Rowan,126
324,Big Run Landfill,KY,Boyd,348
325,Blue Ridge RDF,KY,Estill,113
326,Epperson Waste Disposal,KY,Grant,143
327,Glasgow Regional Landfill,KY,Barren,295
328,Green Valley Landfill,KY,Greenup,265
