,Landfill Name,State,County,Average Annual Count
5,South Cushman Landfill,AK,Fairbanks North Star,317.0
1182,Carson City Sanitary Landfill,NV,Carson City,346.0
1811,0,0,Los Angeles County,39939.0
1812,0,0,Cook County,25748.0
1813,0,0,Maricopa County,17933.0
1814,0,0,Harris County,15735.0
1815,0,0,San Diego County,14412.0
1816,0,0,Orange County,14072.0
1817,0,0,Miami-Dade County,13536.0
1818,0,0,Kings County,12044.0
1819,0,0,Queens County,11239.0
1820,0,0,Broward County,10313.0
1821,0,0,Wayne County,10298.0
1822,0,0,Riverside County,10046.0
1823,0,0,King County,9969.0
1824,0,0,Suffolk County,9819.0
1825,0,0,Dallas County,9700.0
1826,0,0,Palm Beach County,9678.0
1827,0,0,Nassau County,8862.0
1828,0,0,Clark County,8804.0
1829,0,0,New York County,8623.0
1830,0,0,Philadelphia County,8258.0
1831,0,0,Tarrant County,8096.0
1832,0,0,Middlesex County,8027.0
1833,0,0,Allegheny County,7927.0
1834,0,0,San Bernardino County,7925.0
1835,0,0,Cuyahoga County,7772.0
1836,0,0,Santa Clara County,7720.0
1837,0,0,Oakland County,7343.0
1838,0,0,Pinellas County,7148.0
1839,0,0,Bexar County,7118.0
1840,0,0,Hillsborough County,7014.0
1841,0,0,Sacramento County,6900.0
1842,0,0,Alameda County,6829.0
1843,0,0,Erie County,6402.0
1844,0,0,Bronx County,6306.0
1845,0,0,St. Louis County,6053.0
1846,0,0,Westchester County,5771.0
1847,0,0,Franklin County,5658.0
1848,0,0,Bergen County,5571.0
1849,0,0,Contra Costa County,5512.0
1850,0,0,Macomb County,5320.0
1851,0,0,Orange County,5262.0
1852,0,0,Fairfield County,5240.0
1853,0,0,Hartford County,5173.0
1854,0,0,Duval County,5161.0
1855,0,0,New Haven County,5084.0
1856,0,0,Honolulu County,5073.0
1857,0,0,Montgomery County,5041.0
1858,0,0,Baltimore County,5024.0
1859,0,0,Pima County,5007.0
1860,0,0,DuPage County,4918.0
1861,0,0,Milwaukee County,4918.0
1862,0,0,Lee County,4894.0
1863,0,0,Jefferson County,4728.0
1864,0,0,Monroe County,4598.0
1865,0,0,Worcester County,4544.0
1866,0,0,Montgomery County,4517.0
