,Landfill Name,State,County
0,Anchorage Regional Landfill,AK,Anchorage
1,Capitol Disposal Landfill,AK,Juneau
2,Central Peninsula Landfill (CPL),AK,Kenai Peninsula
4,Merrill Field Landfill,AK,Anchorage
5,Palmer Central Landfill,AK,Matanuska-Susitna
6,South Cushman Landfill,AK,Fairbanks North Star
7,Unalaska Landfill,AK,Aleutians West
8,Advanced Disposal Cedar Hill Landfill,AL,St. Clair
9,Advanced Disposal Star Ridge Landfill,AL,St. Clair
10,Arrowhead Landfill,AL,Perry
11,Athens/Limestone County SLF MSWLF,AL,Limestone
12,Bishop Landfill Company,AL,Marshall
13,Black Warrior Solid Waste Facility,AL,Tuscaloosa
14,Blount County/Nectar/Hayden LF & TS,AL,Blount
15,Brundidge Landfill,AL,Pike
16,Calhoun County SLF,AL,Calhoun
17,Chastang SLF,AL,Mobile
19,City of Decatur-Morgan County Regional MSW Landfill,AL,Morgan
20,City of Dothan SLF MSWLF,AL,Houston
21,Coffee County Sanitary Landfill,AL,Coffee
23,Cullman Environmental Waste Management Center,AL,Cullman
24,Eastern Area Landfill,AL,Jefferson
25,Florence SLF MSWLF,AL,Lauderdale
26,Florence SLF MSWLF (Old),AL,Lauderdale
27,Huntsville MSWLF,AL,Madison
28,Irvington SLF,AL,Mobile
29,Jefferson County LF No. 1,AL,Jefferson
30,Jefferson County LF No. 2,AL,Jefferson
31,Magnolia Subtitle D MSW LF,AL,Baldwin
33,Morris Farm Landfill,AL,Lawrence
34,New Georgia MSWLF,AL,Jefferson
35,North Montgomery SLF MSWLF,AL,Montgomery
36,Pine View SLF MSWLF,AL,Walker
37,Salem Landfill,AL,Lee
38,Sand Valley Landfill,AL,DeKalb
40,Scottsboro Landfill,AL,Jackson
41,Shannon SLF,AL,Jefferson
42,Shelby County Highway 70 Landfill,AL,Shelby
43,Shoals Solid Waste Disposal Authority (SSWDA) LF,AL,Colbert
44,"Stones Throw Landfill, LLC",AL,Tallapoosa
45,Three Corners Landfill,AL,Cherokee
46,Timberlands Landfill,AL,Escambia
47,"Turkey Trot Landfill, LLC",AL,Washington
50,Willow Ridge Landfill,AL,Winston
52,City of Conway Landfill,AR,Faulkner
55,City of Morrilton Landfill,AR,Conway
56,Craighead County Solid Waste Disposal Authority LF,AR,Craighead
57,Crittenden County Sanitary Landfill,AR,Crittenden
58,Eco-Vista Landfill,AR,Washington
60,Fort Smith SLF,AR,Sebastian
61,IESI Cherokee Village Landfill,AR,Fulton
63,Jefferson County Landfill,AR,Jefferson
64,Little Rock City SW Landfill,AR,Pulaski
65,Mississippi County LF,AR,Mississippi
66,Modelfill Landfill,AR,Pulaski
68,Northeast AR RSWMD Landfill Phases 2 & 3,AR,Greene
69,Ozark Ridge Landfill,AR,Yell
70,"Rolling Meadows Landfill, Inc.",AR,Prairie
71,Saline County RWMD LF,AR,Saline
72,Shannon Road Landfill,AR,Jefferson
73,Two Pine Landfill,AR,Pulaski
74,Union County Recycling & Disposal Facility,AR,Union
75,Upper Southwest RSWMD,AR,Howard
76,27th Avenue Landfill,AZ,Maricopa
77,Apache County Regional Landfill - Blue Hills,AZ,Apache
78,Apache Junction LF,AZ,Pinal
79,Butterfield Station Landfill,AZ,Maricopa
80,Cactus Landfill,AZ,Pinal
81,Cave Creek MSW Landfill,AZ,Maricopa
82,Cinder Lake MSW LF,AZ,Coconino
83,City of Chandler Landfill,AZ,Maricopa
84,City of Glendale Municipal Landfill,AZ,Maricopa
85,Cochise County Western Regional Landfill,AZ,Cochise
87,Copper Mountain Landfill,AZ,Yuma
90,Durham Regional Landfill,AZ,Pinal
91,Gray Wolf Regional Landfill,AZ,Yavapai
92,Harrison Landfill,AZ,Pima
94,Ironwood Landfill,AZ,Pinal
95,La Paz County Landfill,AZ,La Paz
96,Lake Havasu Landfill,AZ,Mohave
97,Lone Cactus Landfill,AZ,Maricopa
98,Los Reales Landfill,AZ,Pima
99,Marana Regional Landfill,AZ,Pima
100,Mohave Valley Landfill,AZ,Mohave
101,North Center Street Landfill,AZ,Maricopa
102,Northwest Regional MSW Landfill,AZ,Maricopa
103,Painted Desert Landfill,AZ,Navajo
104,Queen Creek MSW Landfill,AZ,Maricopa
105,Rio Rico MSW Landfill,AZ,Santa Cruz
106,Salt River Landfill,AZ,Maricopa
108,Skunk Creek Landfill,AZ,Maricopa
109,South Yuma County Landfill,AZ,Yuma
110,Southwest Regional Landfill,AZ,Maricopa
111,State Route 85 Landfill,AZ,Maricopa
112,Tangerine Road MSW Landfill,AZ,Pima
113,Tri-Cities Landfill,AZ,Maricopa
114,Vincent Mullins Landfill,AZ,Pima
115,Acme LF,CA,Contra Costa
117,All Purpose Landfill,CA,Santa Clara
118,Allied Imperial Landfill,CA,Imperial
119,Altamont Landfill & Resource Recovery Facility,CA,Alameda
122,American Avenue Landfill,CA,Fresno
123,American Canyon SLF,CA,Napa
124,Anderson Landfill,CA,Shasta
126,Antelope Valley Recycling and Disposal Facility,CA,Los Angeles
128,Apple Valley Disposal Site,CA,San Bernardino
130,Arvin SLF,CA,Kern
132,Austin Road Landfill,CA,San Joaquin
133,Avenal Regional Landfill,CA,Kings
134,"Azusa Land Reclamation Company, Inc.",CA,Los Angeles
135,Badlands SLF,CA,Riverside
136,Baker Refuse Disposal Site,CA,San Bernardino
137,Bakersfield City Landfill,CA,Kern
138,Bakersfield Metropolitan SLF (BENA),CA,Kern
140,Barstow Sanitary Landfill,CA,San Bernardino
141,Bass Hill LF,CA,Lassen
143,Ben Lomond Solid Waste Disposal Site,CA,Santa Cruz
148,Big Bear Refuse Disposal Site,CA,San Bernardino
150,Billy Wright Landfill,CA,Merced
151,Bishop Sunland,CA,Inyo
152,BKK Landfill-Phases I & II,CA,Los Angeles
154,Blythe Disposal Site,CA,Riverside
156,Bonzi SLF,CA,Stanislaus
157,Boron SLF,CA,Kern
158,Borrego Landfill,CA,San Diego
159,Bradley Landfill,CA,Los Angeles
163,Buena Vista Drive SLF,CA,Santa Cruz
164,Burbank LF Site No. 3,CA,Los Angeles
166,Calabasas SLF,CA,Los Angeles
168,California Street LF,CA,San Bernardino
177,Chateau Fresno LF,CA,Fresno
179,Chestnut Avenue SLF,CA,Fresno
