,Landfill Name,Physical Address,City,State,County,Zip Code,Latitude,Longitude
0,Anchorage Regional Landfill,15500 E. Eagle River Loop Road,Eagle River,AK,Anchorage,99577,61.29328100000001,-149.602138
1,Capitol Disposal Landfill,5600 Tonsgard Court,Juneau,AK,Juneau,99801,58.3528,-134.4947
2,Central Peninsula Landfill (CPL),46915 Sterling Highway,Soldotna,AK,Kenai Peninsula,99669,60.447140000000005,-151.10369
4,Merrill Field Landfill,800 Merrill Field Drive,Anchorage,AK,Anchorage,99501,61.21266,-149.84011999999998
5,Palmer Central Landfill,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,AK,Matanuska-Susitna,99645,61.59,-149.21
6,South Cushman Landfill,455 Sanduri Street,Fairbanks,AK,Fairbanks North Star,99701,64.80476,-147.70085
7,Unalaska Landfill,1181 Summer Bay Road,Unalaska,AK,Aleutians West,99685,53.88463,-166.50656999999998
8,Advanced Disposal Cedar Hill Landfill,1319 N. Business Creek Road,Ragland,AL,St. Clair,35131,33.68345,-86.25272
9,Advanced Disposal Star Ridge Landfill,3301 Acmar Road,Moody,AL,St. Clair,35004,33.605270000000004,-86.51658
10,Arrowhead Landfill,"On Cahaba Road
Entrance at 626 Tayloe Road",Uniontown,AL,Perry,36786,32.413000000000004,-87.4685
11,Athens/Limestone County SLF MSWLF,"Strain Road
off Highway 31",Athens,AL,Limestone,35611,34.7634,-86.9399
12,Bishop Landfill Company,379 Pleasant Grove Cutoff Road,Albertville,AL,Marshall,35950,34.27823,-86.33707
13,Black Warrior Solid Waste Facility,3301 Landfill Drive,Coker,AL,Tuscaloosa,35452,33.243140000000004,-87.66585
14,Blount County/Nectar/Hayden LF & TS,2390 Armstrong Loop,Hayden,AL,Blount,35079,33.8888,-86.712
15,Brundidge Landfill,515 Cleanwater Drive,Brundidge,AL,Pike,36010,31.7041,-85.8299
16,Calhoun County SLF,3625 Morrisville Road,Anniston,AL,Calhoun,36201,33.675,-85.92
17,Chastang SLF,17045 Highway 43,Mt. Vernon,AL,Mobile,36560,31.061790000000002,-88.02503
19,City of Decatur-Morgan County Regional MSW Landfill,500 Landfill Drive,Trinity,AL,Morgan,35673,34.6175,-87.10163
20,City of Dothan SLF MSWLF,1290 Burkett Road,Dothan,AL,Houston,36303,31.238766,-85.356721
21,Coffee County Sanitary Landfill,7733 Highway 125,Elba,AL,Coffee,36323,31.507053000000003,-86.000975
23,Cullman Environmental Waste Management Center,2805 AL Highway 69 South,Cullman,AL,Cullman,35057,34.02878,-86.90069
24,Eastern Area Landfill,2787 Alton Drive,Birmingham,AL,Jefferson,35210,33.5978,-86.6288
25,Florence SLF MSWLF,"29485 Waterloo Road & Savannah Highway
State Highway 20",Florence,AL,Lauderdale,35630,34.806005,-87.714765
26,Florence SLF MSWLF (Old),Irvine Avenue,Florence,AL,Lauderdale,35630,34.803000000000004,-87.7058
27,Huntsville MSWLF,4100 Leeman Ferry Road SW,Huntsville,AL,Madison,35804,34.6885,-86.59200000000001
28,Irvington SLF,7195 Half Mile Road,Irvington,AL,Mobile,36544,30.490688000000002,-88.210629
29,Jefferson County LF No. 1,101 Barber Boulevard,Gardendale,AL,Jefferson,35071,33.711,-86.87299999999999
30,Jefferson County LF No. 2,7035 Narrows Road,Pinson,AL,Jefferson,35126,33.7077,-86.7104
31,Magnolia Subtitle D MSW LF,15140 County Road 49,Summerdale,AL,Baldwin,36580,30.45727,-87.7761
33,Morris Farm Landfill,4 County Road 418,Hillsboro,AL,Lawrence,35643,34.70381,-87.22116
34,New Georgia MSWLF,2800 47th Avenue North,Birmingham,AL,Jefferson,35207,33.585,-86.815
35,North Montgomery SLF MSWLF,115 Division Street,Montgomery,AL,Montgomery,36104,32.4131,-86.3245
36,Pine View SLF MSWLF,2730 Bryan Road,Dora,AL,Walker,35062,33.71458,-87.04981
37,Salem Landfill,4210 Lee Road 183,Opelika,AL,Lee,36804,32.65347,-85.2636
38,Sand Valley Landfill,3345 County Road 209,Collinsville,AL,DeKalb,35961,34.342,-85.86200000000001
40,Scottsboro Landfill,650 County Road 412,Hollywood,AL,Jackson,35768,34.756,-85.919
41,Shannon SLF,2785 Shannon Oxmoor Road,Birmingham,AL,Jefferson,35211,33.42488,-86.85479000000001
42,Shelby County Highway 70 Landfill,"4154 Highway 70
401 Landfill Road",Columbiana,AL,Shelby,35051,33.171785,-86.687566
43,Shoals Solid Waste Disposal Authority (SSWDA) LF,2015 Missouri Street Highway 43 S,Tuscumbia,AL,Colbert,35674,34.694,-87.6609
44,"Stones Throw Landfill, LLC",1303 Washington Boulevard,Tallassee,AL,Tallapoosa,36078,32.5154,-85.8311
45,Three Corners Landfill,2205 County Road 6,Piedmont,AL,Cherokee,36272,33.9962,-85.7254
46,Timberlands Landfill,22800 Highway 41,Brewton,AL,Escambia,36426,31.2593,-87.1923
47,"Turkey Trot Landfill, LLC",2328 Mannish Ryan Road,Citronelle,AL,Washington,36522,31.158479999999997,-88.19
50,Willow Ridge Landfill,10512 Highway 13,Haleyville,AL,Winston,35565,34.17569,-87.60779000000001
52,City of Conway Landfill,4550 Highway 64 West,Conway,AR,Faulkner,72032,35.1119,-92.5068
55,City of Morrilton Landfill,51 Dump Road,Morrilton,AR,Conway,72110,35.1297,-92.6976
56,Craighead County Solid Waste Disposal Authority LF,238 County Road 476,Jonesboro,AR,Craighead,72404,35.719434,-90.68862
57,Crittenden County Sanitary Landfill,1299 Kuhn Road,West Memphis,AR,Crittenden,72301,35.13597,-90.25605999999999
58,Eco-Vista Landfill,2210 Waste Management Drive,Springdale,AR,Washington,72762,36.140147,-94.256073
60,Fort Smith SLF,5900 Commerce Road,Fort Smith,AR,Sebastian,72916,35.2926,-94.3704
61,IESI Cherokee Village Landfill,100 Landfill Road,Cherokee Village,AR,Fulton,72529,36.281259999999996,-91.63128
63,Jefferson County Landfill,6000 Gravel Pit Road,White Hall,AR,Jefferson,71602,34.346759999999996,-92.19214000000001
64,Little Rock City SW Landfill,10803 Ironton Cut Off Road,Little Rock,AR,Pulaski,72206,34.65129,-92.30241
65,Mississippi County LF,1695 East CR-506,Luxora,AR,Mississippi,72358,35.78,-89.97
66,Modelfill Landfill,3817 Mabelvale Pike,Little Rock,AR,Pulaski,72204,34.7124,-92.3318
68,Northeast AR RSWMD Landfill Phases 2 & 3,1810 Greene 890 Road,Paragould,AR,Greene,72450,36.085,-90.4539
69,Ozark Ridge Landfill,"10140 Ozark Ridge Access Lane
County Road 47 (South New Hope Road) and Hwy 7",Danville,AR,Yell,72833,35.09,-93.2079
70,"Rolling Meadows Landfill, Inc.",1420 Hamric Road,Hazen,AR,Prairie,72064,34.8476,-91.59002
71,Saline County RWMD LF,18511 W. Sardis Road,Bauxite,AR,Saline,72011,34.5606,-92.4818
72,Shannon Road Landfill,7700 Shannon Road,Pine Bluff,AR,Jefferson,71603,34.204169,-92.09411999999999
73,Two Pine Landfill,100 Two Pine Drive,North Little Rock,AR,Pulaski,72117,34.8371,-92.1497
74,Union County Recycling & Disposal Facility,3083 Smackover Highway,El Dorado,AR,Union,71730,33.32,-92.6855
75,Upper Southwest RSWMD,319 Landfill Road,Nashville,AR,Howard,71852,34.075,-93.868
76,27th Avenue Landfill,3060 S. 27th Avenue,Phoenix,AZ,Maricopa,85009,33.42,-112.1168
77,Apache County Regional Landfill - Blue Hills,"Highway 191
3 mi NE of St. Johns",St. Johns,AZ,Apache,85936,34.529,-109.31200000000001
78,Apache Junction LF,4050 South Tomahawk Road,Apache Junction,AZ,Pinal,85219,33.37893,-111.52877
79,Butterfield Station Landfill,40404 S. 99th Avenue,Mobile,AZ,Maricopa,85139,33.08,-112.2757
80,Cactus Landfill,22481 East Deep Well Ranch Road,Florence,AZ,Pinal,85132,32.7679,-111.3223
81,Cave Creek MSW Landfill,3955 E. Carefree Highway,Cave Creek,AZ,Maricopa,85331,33.79,-111.99700000000001
82,Cinder Lake MSW LF,6770 E. Cinder Lake Landfill Road,Flagstaff,AZ,Coconino,86004,35.306999999999995,-111.51700000000001
83,City of Chandler Landfill,3850 South McQueen Road,Chandler,AZ,Maricopa,85286,33.251,-111.8251
84,City of Glendale Municipal Landfill,11480 W Glendale Avenue,Glendale,AZ,Maricopa,85307,33.5364,-112.3065
85,Cochise County Western Regional Landfill,2595 N. Sagebrush Road,Huachuca City,AZ,Cochise,85616,31.718000000000004,-110.288
87,Copper Mountain Landfill,34853 East County 12th Street,Wellton,AZ,Yuma,85356,32.649,-114.05565
90,Durham Regional Landfill,"22316 S. Harmon Road
6 miles north and 3 miles east of the I-10 Red Rock Interchange (Exit 226)",Florence,AZ,Pinal,85132,32.68,-111.291
91,Gray Wolf Regional Landfill,23355 East Highway 169,Dewey,AZ,Yavapai,86327,34.5167,-112.0483
92,Harrison Landfill,9245 East Irvington Road,Tucson,AZ,Pima,85730,32.1627,-110.7902
94,Ironwood Landfill,12720 East Highway 287,Florence,AZ,Pinal,85232,33.0077,-111.4316
95,La Paz County Landfill,"26999 Highway 95
Mile Post 128",Parker,AZ,La Paz,85344,33.951822,-114.21653899999998
96,Lake Havasu Landfill,3251 East Chenoweth Drive,Lake Havasu City,AZ,Mohave,86404,34.5463,-114.339
97,Lone Cactus Landfill,21402 N. 7th Street,Phoenix,AZ,Maricopa,85024,33.682456,-112.065633
98,Los Reales Landfill,5300 E. Los Reales Road,Tucson,AZ,Pima,85756,32.1192,-110.88
99,Marana Regional Landfill,14508 West Avra Valley Road,Marana,AZ,Pima,85653,32.410302,-111.283295
100,Mohave Valley Landfill,3999 El Rodeo Road,Mohave Valley,AZ,Mohave,86426,35.0135,-114.56700000000001
101,North Center Street Landfill,2799 North Center Street,Scottsdale,AZ,Maricopa,85256,33.465,-111.8295
102,Northwest Regional MSW Landfill,19401 W. Deer Valley Road,Surprise,AZ,Maricopa,85387,33.678000000000004,-112.48100000000001
103,Painted Desert Landfill,9001 N. Porter Avenue,Joseph City,AZ,Navajo,86032,34.998000000000005,-110.3347
104,Queen Creek MSW Landfill,20224 E Riggs Road,Queen Creek,AZ,Maricopa,85142,33.2195,-111.6469
105,Rio Rico MSW Landfill,1500 W. Frontage Road,Rio Rico,AZ,Santa Cruz,85648,31.5194,-111.0186
106,Salt River Landfill,13602 N. Beeline Highway,Scottsdale,AZ,Maricopa,85256,33.508775,-111.77821399999999
108,Skunk Creek Landfill,3165 W. Happy Valley Road,Phoenix,AZ,Maricopa,85027,33.712759999999996,-112.12763999999999
109,South Yuma County Landfill,19536 S. Avenue 1 E,Yuma,AZ,Yuma,85365,32.5689,-114.61613
