Unnamed: 0,Landfill Name,State_x,County,State_y,"Age-Adjusted Incidence Rate - cases per 100,000",Average Annual Count,Recent Trend,Clean State
0,Anchorage Regional Landfill,AK,Anchorage,0,0,0,0,0
1,Capitol Disposal Landfill,AK,Juneau,0,0,0,0,0
2,Central Peninsula Landfill (CPL),AK,Kenai Peninsula,0,0,0,0,0
5,Palmer Central Landfill,AK,Matanuska-Susitna,0,0,0,0,0
6,South Cushman Landfill,AK,Fairbanks North Star, Alaska,386.2,317,falling,AK
7,Unalaska Landfill,AK,Aleutians West, Alaska,387.8,14,stable,AK
8,Advanced Disposal Cedar Hill Landfill,AL,St. Clair,0,0,0,0,0
10,Arrowhead Landfill,AL,Perry, Alabama,449.7,54,stable,AL
11,Athens/Limestone County SLF MSWLF,AL,Limestone, Alabama,462.5,492,stable,AL
12,Bishop Landfill Company,AL,Marshall, Alabama,443.7,513,stable,AL
13,Black Warrior Solid Waste Facility,AL,Tuscaloosa, Alabama,441.3,905,falling,AL
14,Blount County/Nectar/Hayden LF & TS,AL,Blount, Alabama,432,317,stable,AL
15,Brundidge Landfill,AL,Pike, Alabama,451.3,158,stable,AL
16,Calhoun County SLF,AL,Calhoun, Alabama,464.3,670,stable,AL
17,Chastang SLF,AL,Mobile, Alabama,442.5,2164,falling,AL
19,City of Decatur-Morgan County Regional MSW Landfill,AL,Morgan, Alabama,477.2,708,rising,AL
20,City of Dothan SLF MSWLF,AL,Houston, Alabama,438.8,571,falling,AL
21,Coffee County Sanitary Landfill,AL,Coffee, Alabama,423.2,265,stable,AL
23,Cullman Environmental Waste Management Center,AL,Cullman, Alabama,433.3,460,stable,AL
24,Eastern Area Landfill,AL,Jefferson, Alabama,452.6,3496,falling,AL
25,Florence SLF MSWLF,AL,Lauderdale, Alabama,423.8,526,stable,AL
27,Huntsville MSWLF,AL,Madison, Alabama,443.6,1800,stable,AL
31,Magnolia Subtitle D MSW LF,AL,Baldwin, Alabama,452.4,1257,stable,AL
33,Morris Farm Landfill,AL,Lawrence, Alabama,474,208,stable,AL
35,North Montgomery SLF MSWLF,AL,Montgomery, Alabama,447.9,1127,stable,AL
36,Pine View SLF MSWLF,AL,Walker, Alabama,513.1,445,stable,AL
37,Salem Landfill,AL,Lee, Alabama,392.5,555,stable,AL
38,Sand Valley Landfill,AL,DeKalb, Alabama,395.5,344,falling,AL
40,Scottsboro Landfill,AL,Jackson, Alabama,438.8,314,stable,AL
42,Shelby County Highway 70 Landfill,AL,Shelby, Alabama,416.1,968,falling,AL
43,Shoals Solid Waste Disposal Authority (SSWDA) LF,AL,Colbert, Alabama,437.8,325,stable,AL
44,"Stones Throw Landfill, LLC",AL,Tallapoosa, Alabama,479.6,279,rising,AL
45,Three Corners Landfill,AL,Cherokee, Alabama,410.6,157,stable,AL
46,Timberlands Landfill,AL,Escambia, Alabama,444.8,212,falling,AL
47,"Turkey Trot Landfill, LLC",AL,Washington, Alabama,423.2,93,falling,AL
50,Willow Ridge Landfill,AL,Winston, Alabama,414.7,143,falling,AL
52,City of Conway Landfill,AR,Faulkner, Arkansas,483.1,555,stable,AR
55,City of Morrilton Landfill,AR,Conway, Arkansas,443.8,127,stable,AR
56,Craighead County Solid Waste Disposal Authority LF,AR,Craighead, Arkansas,490,525,rising,AR
57,Crittenden County Sanitary Landfill,AR,Crittenden, Arkansas,428.8,225,stable,AR
60,Fort Smith SLF,AR,Sebastian, Arkansas,464.4,680,stable,AR
61,IESI Cherokee Village Landfill,AR,Fulton, Arkansas,434.9,87,stable,AR
64,Little Rock City SW Landfill,AR,Pulaski, Arkansas,487.4,2154,falling,AR
65,Mississippi County LF,AR,Mississippi, Arkansas,477.2,231,stable,AR
68,Northeast AR RSWMD Landfill Phases 2 & 3,AR,Greene, Arkansas,473.3,246,rising,AR
69,Ozark Ridge Landfill,AR,Yell, Arkansas,445.7,121,stable,AR
70,"Rolling Meadows Landfill, Inc.",AR,Prairie, Arkansas,485.3,61,stable,AR
71,Saline County RWMD LF,AR,Saline, Arkansas,491.9,708,stable,AR
74,Union County Recycling & Disposal Facility,AR,Union, Arkansas,479.1,247,stable,AR
75,Upper Southwest RSWMD,AR,Howard, Arkansas,409.3,68,falling,AR
76,27th Avenue Landfill,AZ,Maricopa, Arizona,394.2,17933,falling,AZ
77,Apache County Regional Landfill - Blue Hills,AZ,Apache, Arizona,278.5,214,stable,AZ
78,Apache Junction LF,AZ,Pinal, Arizona,355,1845,falling,AZ
82,Cinder Lake MSW LF,AZ,Coconino, Arizona,361.1,473,falling,AZ
85,Cochise County Western Regional Landfill,AZ,Cochise, Arizona,374,664,falling,AZ
87,Copper Mountain Landfill,AZ,Yuma, Arizona,354.3,866,falling,AZ
91,Gray Wolf Regional Landfill,AZ,Yavapai, Arizona,407.9,1654,falling,AZ
92,Harrison Landfill,AZ,Pima, Arizona,386.9,5007,falling,AZ
95,La Paz County Landfill,AZ,La Paz, Arizona,306,127,stable,AZ
96,Lake Havasu Landfill,AZ,Mohave, Arizona,431.2,1579,falling,AZ
103,Painted Desert Landfill,AZ,Navajo, Arizona,337.1,428,falling,AZ
105,Rio Rico MSW Landfill,AZ,Santa Cruz,0,0,0,0,0
115,Acme LF,CA,Contra Costa,0,0,0,0,0
117,All Purpose Landfill,CA,Santa Clara,0,0,0,0,0
118,Allied Imperial Landfill,CA,Imperial, California,391.5,681,stable,CA
119,Altamont Landfill & Resource Recovery Facility,CA,Alameda, California,391.5,6829,falling,CA
122,American Avenue Landfill,CA,Fresno, California,402.8,3674,falling,CA
123,American Canyon SLF,CA,Napa, California,432.2,794,falling,CA
124,Anderson Landfill,CA,Shasta, California,505.3,1253,stable,CA
126,Antelope Valley Recycling and Disposal Facility,CA,Los Angeles, California,380.3,39939,falling,CA
128,Apple Valley Disposal Site,CA,San Bernardino, California,401.5,7925,falling,CA
130,Arvin SLF,CA,Kern, California,404.5,3137,falling,CA
132,Austin Road Landfill,CA,San Joaquin, California,413.5,2964,stable,CA
133,Avenal Regional Landfill,CA,Kings, California,382.3,483,falling,CA
135,Badlands SLF,CA,Riverside, California,402.8,10046,falling,CA
141,Bass Hill LF,CA,Lassen, California,386.1,133,stable,CA
150,Billy Wright Landfill,CA,Merced, California,390.2,928,falling,CA
151,Bishop Sunland,CA,Inyo, California,420.9,117,stable,CA
156,Bonzi SLF,CA,Stanislaus, California,423.3,2273,falling,CA
158,Borrego Landfill,CA,San Diego, California,417.7,14412,falling,CA
180,Chicago Grade LF,CA,San Luis Obispo, California,440.1,1622,falling,CA
186,City of Lompoc SLF,CA,Santa Barbara, California,437.1,2102,falling,CA
189,City of Sacramento Landfill,CA,Sacramento, California,433.3,6900,falling,CA
191,City of Ukiah Solid Waste Disposal Site,CA,Mendocino, California,433.3,528,stable,CA
203,Coyote Canyon SLF,CA,Orange, California,407.5,14072,falling,CA
204,Crazy Horse Landfill,CA,Monterey, California,394,1711,falling,CA
205,Crescent City SLF,CA,Del Norte, California,402.6,140,falling,CA
206,Cummings Road Landfill,CA,Humboldt, California,428.2,712,falling,CA
218,Eastlake SLF,CA,Lake, California,450,430,falling,CA
224,Fairmead Solid Waste Disposal Site,CA,Madera, California,402.3,637,falling,CA
243,Healdsburg Landfill,CA,Sonoma, California,431.8,2832,falling,CA
248,Hillside Solid Waste Disposal Site,CA,San Mateo, California,415.3,3750,falling,CA
257,John Smith Road Class III Landfill,CA,San Benito, California,393.3,236,stable,CA
281,Loyalton LF,CA,Sierra, California,326.5,17,stable,CA
287,McCourtney LF,CA,Nevada, California,405.7,667,falling,CA
300,Neal Road Recycling and Waste Facility,CA,Butte, California,472.7,1342,falling,CA
317,Oxnard Landfills,CA,Ventura, California,417.2,3968,falling,CA
328,Potrero Hills SLF,CA,Solano, California,433.3,2151,falling,CA
335,Recology Ostrom Road LF,CA,Yuba, California,451.5,327,falling,CA
339,Redwood SLF,CA,Marin, California,448.9,1704,stable,CA
342,Rock Creek LF,CA,Calaveras, California,414,320,stable,CA
375,Teapot Dome Landfill,CA,Tulare, California,376.5,1541,falling,CA
378,Tehama County/Red Bluff Landfill,CA,Tehama, California,483.9,410,falling,CA
390,Union Mine Disposal Site,CA,El Dorado, California,436.5,1145,falling,CA
406,Western Regional SLF,CA,Placer, California,462.8,2286,falling,CA
410,Yolo County Central LF,CA,Yolo, California,403.6,806,falling,CA
411,Yreka Solid Waste LF,CA,Siskiyou, California,378.4,266,falling,CA
415,Archuleta County Landfill,CO,Archuleta, Colorado,316.2,62,falling,CO
416,Bondad Landfill,CO,La Plata, Colorado,343.5,228,falling,CO
417,Boulder Landfill,CO,Boulder, Colorado,380.5,1272,falling,CO
418,Broad Canyon Landfill,CO,Montrose, Colorado,388.7,232,falling,CO
419,Broadacres Landfill Inc.,CO,Pueblo, Colorado,415.2,861,falling,CO
420,Buffalo Ridge Landfill,CO,Weld, Colorado,401.2,1113,stable,CO
422,Colorado Springs Landfill,CO,El Paso, Colorado,422.4,2824,falling,CO
424,County Line LF,CO,Douglas, Colorado,393.8,1207,falling,CO
425,Denver Arapahoe Disposal Site (DADS),CO,Arapahoe, Colorado,399.3,2553,falling,CO
428,Eagle County Landfill,CO,Eagle, Colorado,334.1,165,falling,CO
429,East Regional Landfill (ERL),CO,Adams, Colorado,406,1736,falling,CO
434,Larimer County Landfill,CO,Larimer, Colorado,407.4,1491,stable,CO
436,Mesa County Landfill,CO,Mesa, Colorado,414.5,792,falling,CO
438,Milner Landfill,CO,Routt, Colorado,340.2,94,falling,CO
442,Phantom Landfill,CO,Fremont, Colorado,423.7,291,stable,CO
443,Pitkin County Solid Waste Center,CO,Pitkin, Colorado,320.8,76,falling,CO
446,South Canyon Landfill,CO,Garfield, Colorado,408.1,240,falling,CO
448,Summit County Landfill,CO,Summit, Colorado,232.7,74,falling,CO
455,Canterbury LF,CT,Windham, Connecticut,494.8,708,stable,CT
457,East Windsor LF,CT,Hartford, Connecticut,464.2,5173,falling,CT
459,Groton LF,CT,New London, Connecticut,474.2,1640,falling,CT
465,Middletown Avenue Landfill,CT,New Haven, Connecticut,474.3,5084,falling,CT
467,New Milford LF,CT,Litchfield, Connecticut,481.5,1278,falling,CT
471,Shelton LF,CT,Fairfield, Connecticut,468.3,5240,stable,CT
477,Cherry Island Landfill,DE,New Castle,0,0,0,0,0
478,Jones Crossroads Landfill,DE,Sussex, Delaware,477.1,1691,falling,DE
480,Sandtown Landfill,DE,Kent, Delaware,518.3,1067,falling,DE
481,58th Street Landfill,FL,Miami-Dade, Florida,423.1,13536,falling,FL
482,A.C.M.S. Inc.,FL,Sumter, Florida,439.5,1413,falling,FL
484,Baseline Landfill,FL,Marion, Florida,514,3044,falling,FL
485,Bee Ridge LF,FL,Sarasota, Florida,475.9,3942,stable,FL
487,Brevard County Central Disposal Facility,FL,Brevard, Florida,471.7,4178,falling,FL
488,Bridgeway Acres LF,FL,Pinellas, Florida,473,7148,stable,FL
489,Broward County Landfill,FL,Broward, Florida,449,10313,falling,FL
491,Cedar Trail Landfill (CTL),FL,Polk, Florida,491,4338,falling,FL
493,Citrus County Central Landfill,FL,Citrus, Florida,521.1,1506,stable,FL
494,Collier County Landfill,FL,Collier, Florida,378.3,2427,falling,FL
496,Croom SLF,FL,Hernando, Florida,546.2,1667,stable,FL
497,DeSoto City SLF,FL,Highlands, Florida,434.4,831,falling,FL
498,Dyer Boulevard LF,FL,Palm Beach, Florida,442.9,9678,stable,FL
499,East Duval SLF,FL,Duval, Florida,523.8,5161,stable,FL
503,Hillsborough Heights LF,FL,Hillsborough, Florida,478,7014,falling,FL
